antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'KEGS'}),frozenset({'BEER'}),0.15172413793103448,0.2689655172413793,0.15172413793103448,1.0,3.717948717948718,1.0,0.11091557669441142,inf,0.8617886178861788,0.5641025641025641,1.0,0.782051282051282
frozenset({'BEER'}),frozenset({'KEGS'}),0.2689655172413793,0.15172413793103448,0.15172413793103448,0.5641025641025641,3.717948717948718,1.0,0.11091557669441142,1.9460446247464505,1.0,0.5641025641025641,0.48613716906399834,0.782051282051282
"frozenset({'KEGS', 'LIQUOR'})",frozenset({'BEER'}),0.03103448275862069,0.2689655172413793,0.03103448275862069,1.0,3.717948717948718,1.0,0.022687277051129606,inf,0.7544483985765124,0.11538461538461539,1.0,0.5576923076923077
frozenset({'BEER'}),"frozenset({'KEGS', 'LIQUOR'})",0.2689655172413793,0.03103448275862069,0.03103448275862069,0.11538461538461539,3.717948717948718,1.0,0.022687277051129606,1.0953523238380811,1.0,0.11538461538461539,0.08705173829728989,0.5576923076923077
frozenset({'KEGS'}),"frozenset({'BEER', 'LIQUOR'})",0.15172413793103448,0.07586206896551724,0.03103448275862069,0.20454545454545456,2.6962809917355375,1.0,0.019524375743162903,1.1617733990147783,0.7416440831074977,0.15789473684210525,0.139246947082768,0.3068181818181818
"frozenset({'BEER', 'LIQUOR'})",frozenset({'KEGS'}),0.07586206896551724,0.15172413793103448,0.03103448275862069,0.4090909090909091,2.6962809917355375,1.0,0.019524375743162903,1.4355437665782496,0.6807628524046435,0.15789473684210525,0.30339985218034,0.3068181818181818
"frozenset({'WINE', 'BEER'})",frozenset({'LIQUOR'}),0.08275862068965517,0.3310344827586207,0.06896551724137931,0.8333333333333334,2.517361111111111,1.0,0.041569560047562425,4.013793103448277,0.6571428571428571,0.19999999999999998,0.7508591065292097,0.5208333333333334
frozenset({'LIQUOR'}),"frozenset({'WINE', 'BEER'})",0.3310344827586207,0.08275862068965517,0.06896551724137931,0.20833333333333334,2.517361111111111,1.0,0.041569560047562425,1.1586206896551725,0.9010309278350515,0.19999999999999998,0.13690476190476192,0.5208333333333334
frozenset({'NON-ALCOHOL'}),frozenset({'LIQUOR'}),0.06206896551724138,0.3310344827586207,0.03793103448275862,0.6111111111111112,1.8460648148148149,1.0,0.01738406658739596,1.7201970443349757,0.48863636363636365,0.10679611650485438,0.41867124856815585,0.36284722222222227
frozenset({'LIQUOR'}),frozenset({'NON-ALCOHOL'}),0.3310344827586207,0.06206896551724138,0.03793103448275862,0.11458333333333333,1.8460648148148147,1.0,0.01738406658739596,1.0593103448275862,0.6850984067478914,0.10679611650485438,0.05598958333333333,0.36284722222222227
frozenset({'WINE'}),"frozenset({'BEER', 'LIQUOR'})",0.6586206896551724,0.07586206896551724,0.06896551724137931,0.10471204188481675,1.3802950975725845,1.0,0.01900118906064209,1.032224238757814,0.8070707070707069,0.10362694300518134,0.03121825427834649,0.5069014754878629
"frozenset({'BEER', 'LIQUOR'})",frozenset({'WINE'}),0.07586206896551724,0.6586206896551724,0.06896551724137931,0.9090909090909091,1.3802950975725845,1.0,0.01900118906064209,3.7551724137931024,0.2981343283582089,0.10362694300518134,0.7337006427915518,0.5069014754878629
"frozenset({'WINE', 'LIQUOR'})",frozenset({'BEER'}),0.19310344827586207,0.2689655172413793,0.06896551724137931,0.35714285714285715,1.327838827838828,1.0,0.01702734839476814,1.1371647509578546,0.30598290598290606,0.17543859649122806,0.12061994609164424,0.3067765567765568
frozenset({'BEER'}),"frozenset({'WINE', 'LIQUOR'})",0.2689655172413793,0.19310344827586207,0.06896551724137931,0.25641025641025644,1.327838827838828,1.0,0.01702734839476814,1.0851367419738407,0.33773584905660387,0.17543859649122806,0.07845715538023235,0.3067765567765568
